Id,CardName,Description,GuardianStar1,GuardianStar2,Level,CardType,Attribute,Attack,Defense,Password,StarchipCost,IsAngelWinged,IsBugrothian,IsMercuryMagicUser,IsDragon,IsElf,IsFeatherian,IsFemale,IsJar,IsKoumorian,IsMystElfian,IsPyro,IsTurtle,IsUsableBeast,NumSort,AbcSort,MaxSort,AtkSort,DefSort,TypSort,AISort
1,Blue-eyes White Dragon,"An extremely rare   
card with
unsurpassed attack
and defense power.",Sun,Mars,8,Dragon,Light,3000,2500,89631139,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,7,7,11,6,5
2,Mystical Elf,"A delicate elf that 
lacks in offense
but has a terrific
defense backed by
mystical power.",Sun,Jupiter,4,Spellcaster,Light,800,2000,15025844,160,0,0,0,0,1,0,1,0,0,0,0,0,0,2,451,98,443,67,70,23
3,Hitotsu-me Giant,"A one-eyed behemoth 
with thick, powerful
arms made for
delivering punishing
blows.",Moon,Mars,4,Beast-Warrior,Earth,1200,1000,76184692,70,0,0,0,0,0,0,0,0,1,0,0,0,0,3,286,358,304,348,197,42
4,Baby Dragon,"Much more than just 
a child, this dragon
is gifted with
untapped power.",Uranus,Sun,3,Dragon,Wind,1200,700,88819587,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,4,40,389,326,475,3,42
5,Ryu-kishin,"A very elusive 
creature that looks 
like a harmless
statue until it
attacks.",Saturn,Sun,3,Fiend,Dark,1000,500,15303296,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,534,452,392,543,320,46
6,Feral Imp,"A playful little 
imp that lurks in 
the dark, waiting to
attack an unwary
enemy.",Moon,Jupiter,4,Fiend,Dark,1300,1400,41392891,140,0,0,0,0,0,0,0,0,1,0,0,0,0,6,193,264,250,204,290,38
7,Winged Dragon #1,"A dragon commonly 
found guarding 
mountain fortresses.
Its signature attack
is a sweeping dive 
from out of the blue.",Saturn,Moon,4,Dragon,Wind,1400,1200,87796900,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,7,693,281,227,285,30,38
8,Mushroom Man,"Found in moist
areas, this monster 
launches poison
spores against its
enemies.",Jupiter,Sun,2,Plant,Earth,800,600,14181608,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,440,518,477,519,614,50
9,Shadow Specter,"Ghostly beast that 
appears in the
wasteland and is
particularly
troublesome when
faced in large
numbers.",Moon,Saturn,1,Zombie,Dark,500,200,40575313,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,550,589,576,611,109,56
10,Blackland Fire Dragon,"A dragon that dwells
in the depths of
darkness. Its
defensive capability
suffers from its
poor eyesight.",Mercury,Moon,4,Dragon,Dark,1500,800,87564352,80,0,0,1,1,0,0,0,0,0,0,0,0,0,10,68,250,205,431,4,36
11,Sword Arm of Dragon,"With a body covered 
in sword-like
thorns, nothing
dares stand in the
way of this monster 
when it charges.",Uranus,Moon,6,Dinosaur,Earth,1750,2030,13069066,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,11,598,74,122,47,409,22
12,Swamp Battleguard,"This creature is    
armed with a spiked 
club that can
destroy almost
anything in its path.
Rumored to have a
brother that is just
as destructive.",Mercury,Mars,5,Warrior,Earth,1800,1500,40453765,290,0,0,1,0,0,0,0,0,0,0,0,0,0,12,597,146,113,165,180,28
13,Tyhone,"Capable of firing
cannonballs from its
mouth for long-range
attacks against
enemies.",Saturn,Venus,4,Winged Beast,Wind,1200,1400,72842870,120,0,0,0,0,0,0,0,0,0,0,0,0,0,13,657,279,293,214,268,38
14,Battle Steer,"A bull monster often
found in the woods.
Charges enemy
monsters with a pair
of razor-sharp horns.",Moon,Uranus,5,Beast-Warrior,Earth,1800,1300,18246479,230,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,153,117,228,194,28
15,Flame Swordsman,"A fighter gifted
with the power of
fire.
Attacks enemies with
a sword that
launches flames.",Mars,Sun,5,Warrior,Fire,1800,1600,45231177,320,0,0,0,0,0,0,0,0,0,0,1,0,0,15,210,131,103,137,138,28
