Source,Target,Result,Type
2,8,638,undirected
2,9,470,undirected
2,10,551,undirected
2,12,551,undirected
2,17,551,undirected
2,18,551,undirected
2,19,551,undirected
2,20,551,undirected
2,21,551,undirected
2,24,470,undirected
2,28,531,undirected
2,30,470,undirected
2,34,551,undirected
2,45,462,undirected
2,46,627,undirected
2,47,627,undirected
2,61,627,undirected
2,65,627,undirected
2,74,531,undirected
2,75,638,undirected
2,83,551,undirected
2,89,449,undirected
2,91,627,undirected
2,100,41,undirected
2,102,551,undirected
2,103,551,undirected
2,104,551,undirected
2,107,41,undirected
2,108,470,undirected
2,109,582,undirected
2,110,41,undirected
2,111,551,undirected
2,112,551,undirected
2,113,627,undirected
2,115,551,undirected
2,118,41,undirected
2,120,41,undirected
2,121,627,undirected
2,123,638,undirected
2,127,551,undirected
2,129,551,undirected
2,130,582,undirected
2,132,470,undirected
2,134,582,undirected
2,135,470,undirected
2,136,551,undirected
2,138,41,undirected
2,139,470,undirected
2,146,551,undirected
2,147,41,undirected
2,148,551,undirected
2,149,551,undirected
2,151,41,undirected
2,153,470,undirected
2,154,470,undirected
2,156,41,undirected
2,157,638,undirected
2,158,638,undirected
2,160,41,undirected
2,161,41,undirected
2,164,551,undirected
2,166,41,undirected
2,167,531,undirected
2,169,551,undirected
2,170,582,undirected
2,172,41,undirected
2,173,551,undirected
2,175,551,undirected
2,177,449,undirected
2,178,551,undirected
2,179,551,undirected
2,180,638,undirected
2,182,551,undirected
2,185,41,undirected
2,188,627,undirected
2,189,627,undirected
2,190,551,undirected
2,191,462,undirected
2,192,582,undirected
2,193,449,undirected
2,195,41,undirected
2,197,470,undirected
2,198,582,undirected
2,201,627,undirected
2,202,627,undirected
2,203,470,undirected
2,208,582,undirected
2,211,462,undirected
2,214,41,undirected
2,215,470,undirected
2,220,551,undirected
2,224,551,undirected
2,226,41,undirected
2,228,470,undirected
2,229,582,undirected
2,231,551,undirected
2,233,551,undirected
2,234,551,undirected
2,235,41,undirected
2,236,551,undirected
2,237,531,undirected
2,238,638,undirected
2,239,551,undirected
2,241,470,undirected
2,244,531,undirected
2,247,431,undirected
2,248,627,undirected
2,250,41,undirected
2,251,626,undirected
2,253,551,undirected
2,255,627,undirected
2,256,41,undirected
2,257,531,undirected
2,259,551,undirected
2,260,582,undirected
2,262,41,undirected
2,263,531,undirected
2,264,582,undirected
2,266,41,undirected
2,267,551,undirected
2,268,551,undirected
2,269,551,undirected
2,271,551,undirected
2,273,638,undirected
2,274,638,undirected
2,276,582,undirected
2,279,551,undirected
2,280,41,undirected
2,281,551,undirected
2,282,627,undirected
2,286,551,undirected
2,288,551,undirected
2,290,41,undirected
2,293,41,undirected
2,294,41,undirected
2,299,41,undirected
2,354,41,undirected
2,359,470,undirected
2,362,41,undirected
2,366,531,undirected
2,379,551,undirected
2,387,551,undirected
2,388,551,undirected
2,395,582,undirected
2,396,582,undirected
2,399,41,undirected
2,403,627,undirected
2,425,458,undirected
2,426,531,undirected
2,429,582,undirected
2,436,431,undirected
2,448,458,undirected
2,453,531,undirected
2,454,531,undirected
2,455,531,undirected
2,456,531,undirected
2,457,531,undirected
2,459,462,undirected
2,460,462,undirected
2,461,462,undirected
2,462,458,undirected
2,463,462,undirected
